Age,Attrition,Department,JobRole,MonthlyIncome,YearsAtCompany,JobSatisfaction,WorkLifeBalance,OverTime,DistanceFromHome,EducationField,MaritalStatus,PerformanceRating
26,Yes,Research & Development,Research Scientist,5764,1,1,4,No,11,Marketing,Single,3
32,Yes,Human Resources,Human Resources,6446,1,2,2,No,5,Life Sciences,Divorced,3
33,Yes,Research & Development,Research Director,3390,3,3,4,Yes,6,Technical Degree,Single,3
26,Yes,Sales,Sales Executive,5930,0,4,4,No,3,Medical,Divorced,3
27,Yes,Research & Development,Research Director,4532,4,1,4,Yes,9,Medical,Divorced,3
25,No,Research & Development,Research Director,5423,24,4,4,No,8,Technical Degree,Divorced,4
27,No,Sales,Sales Representative,2226,2,4,3,No,7,Life Sciences,Single,3
30,No,Research & Development,Manufacturing Director,6673,0,4,3,No,13,Medical,Single,3
23,Yes,Research & Development,Healthcare Representative,8517,0,2,2,No,9,Technical Degree,Single,4
40,No,Research & Development,Healthcare Representative,3559,10,3,4,No,6,Human Resources,Married,3
24,No,Sales,Sales Executive,8277,4,4,2,No,12,Human Resources,Single,3
29,Yes,Sales,Sales Representative,3824,18,4,3,No,14,Marketing,Divorced,3
49,No,Research & Development,Research Director,5365,15,2,2,Yes,5,Marketing,Divorced,3
37,No,Research & Development,Laboratory Technician,4370,3,2,2,No,25,Life Sciences,Divorced,3
28,No,Research & Development,Laboratory Technician,9916,24,4,2,No,3,Life Sciences,Single,3
37,Yes,Sales,Sales Executive,16841,0,2,4,Yes,1,Technical Degree,Divorced,3
43,Yes,Human Resources,Manager,2765,10,2,3,No,9,Marketing,Single,3
28,No,Research & Development,Healthcare Representative,3702,0,3,3,Yes,6,Other,Divorced,3
41,No,Research & Development,Research Scientist,3110,3,4,2,No,1,Medical,Divorced,4
44,Yes,Research & Development,Laboratory Technician,2655,11,3,3,Yes,1,Technical Degree,Married,4
24,No,Human Resources,Human Resources,8913,3,4,4,No,13,Life Sciences,Single,3
39,No,Sales,Sales Executive,3438,0,2,3,No,9,Technical Degree,Married,3
30,Yes,Research & Development,Research Scientist,2792,9,3,4,No,7,Human Resources,Divorced,3
28,No,Research & Development,Healthcare Representative,3268,25,3,4,No,14,Technical Degree,Married,3
24,Yes,Research & Development,Manufacturing Director,4830,8,2,1,No,1,Medical,Single,4
34,No,Human Resources,Manager,7023,0,4,3,No,29,Technical Degree,Divorced,4
46,Yes,Sales,Sales Representative,4141,2,2,3,No,10,Medical,Divorced,3
37,Yes,Sales,Sales Representative,2775,14,4,3,No,4,Life Sciences,Single,3
39,No,Research & Development,Laboratory Technician,5589,17,3,3,No,9,Other,Married,3
34,Yes,Research & Development,Research Director,7183,3,1,3,Yes,5,Technical Degree,Divorced,3
33,No,Sales,Sales Representative,5115,0,4,3,Yes,6,Human Resources,Single,3
30,No,Sales,Manager,5476,0,3,3,No,11,Other,Divorced,4
46,No,Research & Development,Healthcare Representative,3589,2,3,1,Yes,29,Marketing,Single,3
26,No,Research & Development,Healthcare Representative,4157,1,2,3,No,9,Technical Degree,Single,3
40,No,Human Resources,Manager,11222,6,3,2,No,12,Medical,Divorced,3
40,No,Sales,Sales Executive,7239,4,1,3,No,1,Marketing,Divorced,3
50,No,Research & Development,Research Director,9524,0,3,3,No,17,Medical,Married,3
38,No,Sales,Sales Executive,3640,0,3,4,No,4,Human Resources,Single,3
43,No,Research & Development,Research Director,5092,3,4,4,Yes,1,Life Sciences,Single,3
39,No,Sales,Sales Representative,3599,0,2,4,Yes,15,Marketing,Single,3
45,No,Sales,Sales Executive,10160,14,4,4,No,1,Human Resources,Single,3
36,No,Research & Development,Research Scientist,5211,3,4,2,No,17,Life Sciences,Divorced,3
